qid,did,q_x,q_y,d_x,d_y,ndcg_final,ndcg_dense,ndcg_delta,r@100
682,59405023,-2.6308,3.6930,6.9529,12.2600,0.1184,0.1184,0.0000,0.0000
978,1499102,-4.3653,3.3528,7.6249,13.3195,0.1066,0.1066,0.0000,0.0000
367,8856020,-3.4427,2.6614,9.3531,12.8754,0.2153,0.3869,-0.1715,1.0000
303,8790773,-2.0882,2.1920,8.2105,11.6812,1.0000,1.0000,0.0000,1.0000
637,1223386,-1.7593,4.5110,8.4658,12.0181,0.0000,0.0000,0.0000,0.0000
836,1126777,-2.6855,2.9313,9.7242,12.6883,0.1085,0.1085,0.0000,0.0000
185,26365132,-3.0425,2.9438,8.9897,11.4049,0.0000,0.0000,0.0000,0.0000
676,2524297,-3.4447,2.2158,7.8920,13.8781,0.2018,0.1966,0.0053,1.0000
490,47727272,-3.2482,4.1426,8.4630,13.4908,0.1131,0.1131,0.0000,0.0000
623,25582370,-3.1610,3.5726,8.2920,13.0360,0.0000,0.0000,0.0000,0.0000
554,6540216,-1.9619,3.9043,7.7367,11.6231,0.1117,0.1117,0.0000,0.0000
563,3316533,-4.2684,3.7160,9.7433,13.2654,0.2314,0.1982,0.0331,1.0000
756,45568,-3.9906,2.2037,7.8104,13.8310,1.0000,0.3869,0.6131,1.0000
639,38482608,-3.2379,4.3431,9.1805,12.5812,0.0000,0.0000,0.0000,0.0000
442,20837994,-2.5429,4.1003,9.0421,11.2853,0.1472,0.1472,0.0000,0.0000
1073,2982563,-3.7535,3.2278,9.2742,12.7767,0.1102,0.1102,0.0000,0.0000
475,5524740,-2.4496,1.8810,7.0168,12.9608,0.0000,0.0000,0.0000,0.0000
926,2359777,-2.9687,3.4167,8.7961,11.8081,1.0000,0.1950,0.8050,1.0000
271,7208007,-2.3181,4.7242,8.3571,11.1749,1.0000,1.0000,0.0000,1.0000
723,1131961,-3.4393,4.0277,9.9182,12.5511,1.0000,1.0000,0.0000,1.0000
351,3421818,-2.7433,3.2016,8.8760,11.7920,1.0000,0.2211,0.7789,1.0000
887,8189879,-3.2997,3.1257,9.4199,12.0645,0.0000,0.0000,0.0000,0.0000
436,4598057,-4.1655,3.0588,7.7487,13.3288,0.1161,0.1161,0.0000,0.0000
1077,7883438,-2.8761,2.3643,8.8842,12.1648,1.0000,0.1707,0.8293,1.0000
834,37206425,-2.3940,3.8032,7.7813,11.3328,0.0000,0.0000,0.0000,0.0000
325,4187903,-3.3483,4.3659,9.6811,13.2691,0.1006,0.1006,0.0000,0.0000
385,2314982,-3.8113,2.9522,6.9665,12.3676,0.0000,0.0000,0.0000,0.0000
521,2911505,-3.1201,2.4623,8.9827,13.5538,0.0000,0.0000,0.0000,0.0000
